VERSION;REFERENCE_DATE;STRUCTURE_DATE;MARKET_PARAMETER_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MARKET_PARAMETER_SUBTYPE;MARKET_PARAMETER_CLASSIFICATION;UNDERLYING;UNDERLYING_BREAKDOWN;CURRENCY;CURRENCY_BREAKDOWN;START_DATE;MATURITY_LABEL;MATURITY_DATE;STRIKE;MARKET_PARAMETER_MULT_1;MARKET_PARAMETER_MULT_2;CONVERSION_FACTOR;TIME_FACTOR;MARKET_PARAMETER_VALUE;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8;LINEAR_BREAKDOWN_NAME1;LINEAR_BREAKDOWN_VALUE1;LINEAR_BREAKDOWN_NAME2;LINEAR_BREAKDOWN_VALUE2;LINEAR_BREAKDOWN_NAME3;LINEAR_BREAKDOWN_VALUE3;LINEAR_BREAKDOWN_NAME4;LINEAR_BREAKDOWN_VALUE4;LINEAR_BREAKDOWN_NAME5;LINEAR_BREAKDOWN_VALUE5;LINEAR_BREAKDOWN_NAME6;LINEAR_BREAKDOWN_VALUE6;LINEAR_BREAKDOWN_NAME7;LINEAR_BREAKDOWN_VALUE7;LINEAR_BREAKDOWN_NAME8;LINEAR_BREAKDOWN_VALUE8;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_DATE;POSITION_STRIKE
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DUNKIN BRD GRP;;USD;;;n.a.;01/01/1900;;1;1;;;76.72500000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;US2655041000;CFICode;ESXXXX;Ric;USD:O:4:US2655041000;FutUnd;DUNKIN BRD GRP;RefBid;76.70000000;RefAsk;76.75000000;RefMid;76.72500000;ClsBid;75.35000000;ClsAsk;75.35000000;ClsMid;75.35000000;Lsize;1.00000000;MIC;XNAS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DWNI;;EUR;;;n.a.;01/01/1900;;1;1;;;44.58500000;Mkt;Xetra T7;1ryMkt;Xetra T7;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;DE000A0HN5C6;CFICode;ESXXXX;Ric;2504314;FutUnd;DWNI;RefBid;44.58000000;RefAsk;44.59000000;RefMid;44.58500000;ClsBid;44.61000000;ClsAsk;44.61000000;ClsMid;44.61000000;Lsize;1.00000000;MIC;XETR;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DXC Technology Co;;USD;;;n.a.;01/01/1900;;1;1;;;20.00500000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;US23355L1061;CFICode;ESXXXX;Ric;USD:N:4:US23355L1061;FutUnd;DXC Technology Co;RefBid;19.99000000;RefAsk;20.02000000;RefMid;20.00500000;ClsBid;19.76000000;ClsAsk;19.76000000;ClsMid;19.76000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DXC Technology Co;;USD;;;n.a.;01/01/1900;;1;1;;;20.00500000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;US23355L1061;CFICode;ESXXXX;Ric;DXC.N;FutUnd;DXC Technology Co;RefBid;19.99000000;RefAsk;20.02000000;RefMid;20.00500000;ClsBid;19.76000000;ClsAsk;19.76000000;ClsMid;19.76000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;Deckers Outdoor Corp;;USD;;;n.a.;01/01/1900;;1;1;;;209.93500000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;US2435371073;CFICode;ESXXXX;Ric;USD:N:4:US2435371073;FutUnd;Deckers Outdoor Corp;RefBid;209.85000000;RefAsk;210.02000000;RefMid;209.93500000;ClsBid;210.82000000;ClsAsk;210.82000000;ClsMid;210.82000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;Deckers Outdoor Corp;;USD;;;n.a.;01/01/1900;;1;1;;;209.93500000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;US2435371073;CFICode;ESXXXX;Ric;DECK.N;FutUnd;Deckers Outdoor Corp;RefBid;209.85000000;RefAsk;210.02000000;RefMid;209.93500000;ClsBid;210.82000000;ClsAsk;210.82000000;ClsMid;210.82000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;Delphi Technologies PLC;;USD;;;n.a.;01/01/1900;;1;1;;;17.57000000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;JE00BD85SC56;CFICode;ESXXXX;Ric;USD:N:4:JE00BD85SC56;FutUnd;Delphi Technologies PLC;RefBid;17.56000000;RefAsk;17.58000000;RefMid;17.57000000;ClsBid;17.38000000;ClsAsk;17.38000000;ClsMid;17.38000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;Delphi Technologies PLC;;USD;;;n.a.;01/01/1900;;1;1;;;17.57000000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;JE00BD85SC56;CFICode;ESXXXX;Ric;DLPH.N;FutUnd;Delphi Technologies PLC;RefBid;17.56000000;RefAsk;17.58000000;RefMid;17.57000000;ClsBid;17.38000000;ClsAsk;17.38000000;ClsMid;17.38000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;Delta Airlines;;USD;;;n.a.;01/01/1900;;1;1;;;31.43500000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;US2473617023;CFICode;ESXXXX;Ric;USD:N:4:US2473617023;FutUnd;Delta Airlines;RefBid;31.43000000;RefAsk;31.44000000;RefMid;31.43500000;ClsBid;30.82000000;ClsAsk;30.82000000;ClsMid;30.82000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;Delta Airlines;;USD;;;n.a.;01/01/1900;;1;1;;;31.43500000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;US2473617023;CFICode;ESXXXX;Ric;DAL.N;FutUnd;Delta Airlines;RefBid;31.43000000;RefAsk;31.44000000;RefMid;31.43500000;ClsBid;30.82000000;ClsAsk;30.82000000;ClsMid;30.82000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
