YTM	VEGA	DELTA_EXCHANGE_NPV	POSITIONID	STRIKE_REF_SPOT	DELTA_FACTOR	GAMMA	RHO_FACTOR	DELTA	RHO	BPV	REF_DATE	PVBP	GAMMA_FACTOR	SSL_SNAPSHOT_DATE	ANALYTICDATE	THETA	SSL_FEID	VEGA_FACTOR	DELTA_EXCHANGE_LIAB	RISK_NATURE	DELTA_EXCHANGE_CASH	CURRENCY	STEP_LABEL	POSITIONID_FE	STRIKE_REF_VALUE	STRIKE_UNDERLYING	F_DELTA_EXCHANGE	STRIKE_INSTR_VALUE	VOLATILITY	THETA_FACTOR	SSL_COUNTER	RHO1
	11728.7174860748		AA | EUR | Equities | Options | Call | OTC SD3E C1800 DEC22 - EQ STRUCT | 16 DEC 22 | C | E | 1800.0000000000 | XXXX | OTC Derivatives_bbe38806-7710-11e9-9400-98972329be46_TBRX			18.6546777393		32096.0634155303	70200.6288246866		20200831			30200831.0000000000	20200831	1464.4666722615	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OTC SD3E C1800 DEC22 - EQ STRUCT | 16 DEC 22 | C | E | 1800.0000000000 | XXXX | OTC Derivatives							1.0000000000	-640.7763209176
	-11155.8677341374		AA | EUR | Equities | Options | Call | OPT_SD3E MAR25 CATM - 4482 | 26 MAR 25 | C | E | 2006.9100000000 | XXXX | Internal_bbe80b96-9e9d-11ea-a0a0-6b77645bee53_TBRX			-9.1213247232		-21178.8428799641	-87796.8368591784		20200831			30200831.0000000000	20200831	-1130.2956554929	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E MAR25 CATM - 4482 | 26 MAR 25 | C | E | 2006.9100000000 | XXXX | Internal							1.0000000000	772.6228694863
	-23990.9545886036		AA | EUR | Equities | Options | Call | OPT_EPC SD3E SEP24 CATM - 4694 | 09 SEP 24 | C | E | 1958.8700000000 | XXXX | Internal_bbfd0320-9e9d-11ea-a0a0-6b77645bee53_TBRX			-22.5311004424		-48248.5370079595	-179319.0996220083		20200831			30200831.0000000000	20200831	-2499.6105418912	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_EPC SD3E SEP24 CATM - 4694 | 09 SEP 24 | C | E | 1958.8700000000 | XXXX | Internal							1.0000000000	1584.5445475320
	3933.1680889719		AA | EUR | Equities | Options | Call | OPT_EPC SD3E SEP24 CCAP - 4694 | 09 SEP 24 | C | E | 2644.4745000000 | XXXX | Internal_bbfe3bdc-9e9d-11ea-a0a0-6b77645bee53_TBRX			3.7788573081		5465.9166187180	22400.2040790353		20200831			30200831.0000000000	20200831	224.1895488937	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_EPC SD3E SEP24 CCAP - 4694 | 09 SEP 24 | C | E | 2644.4745000000 | XXXX | Internal							1.0000000000	-185.5073731178
	13663.8910300028		AA | EUR | Equities | Options | Call | OTC SD3E C2000 DEC24 - JPM | 20 DEC 24 | C | E | 2000.0000000000 | None | OTC Derivatives_bc048934-7710-11e9-9400-98972329be46_TBRX			11.6432276204		26684.3411965783	104650.1716649277		20200831			30200831.0000000000	20200831	1389.8110971900	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OTC SD3E C2000 DEC24 - JPM | 20 DEC 24 | C | E | 2000.0000000000 | None | OTC Derivatives							1.0000000000	-925.5815827180
	-28711.0834405636		AA | EUR | Equities | Options | Call | OPT_SD3E OCT25 CATM - 4729 | 29 OCT 25 | C | E | 1893.1900000000 | XXXX | Internal_bc0da2ca-9e9d-11ea-a0a0-6b77645bee53_TBRX			-21.8631569719		-57281.4844556557	-260500.5187441898		20200831			30200831.0000000000	20200831	-3250.3532439544	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E OCT25 CATM - 4729 | 29 OCT 25 | C | E | 1893.1900000000 | XXXX | Internal							1.0000000000	2298.5628383662
	-2052.5148225244		AA | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 3Y - 4791 | 24 NOV 21 | C | E | 952.7500000000 | XXXX | Internal_bc188e06-9e9d-11ea-a0a0-6b77645bee53_TBRX			-1.3125280394		-29826.5209690227	-23025.0671726022		20200831			30200831.0000000000	20200831	-1937.6012308745	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 3Y - 4791 | 24 NOV 21 | C | E | 952.7500000000 | XXXX | Internal							1.0000000000	230.2980301687
	-3609.3869788982		AA | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 5Y - 4791 | 24 NOV 23 | C | E | 952.7500000000 | XXXX | Internal_bc1b884a-9e9d-11ea-a0a0-6b77645bee53_TBRX			-1.6703400002		-26705.1025060990	-52971.0851296430		20200831			30200831.0000000000	20200831	-1823.4986421240	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 5Y - 4791 | 24 NOV 23 | C | E | 952.7500000000 | XXXX | Internal							1.0000000000	527.0354007446
	-4375.1600672524		AA | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 7Y - 4791 | 26 NOV 25 | C | E | 952.7500000000 | XXXX | Internal_bc1cf27a-9e9d-11ea-a0a0-6b77645bee53_TBRX			-1.9005004351		-24396.0188559717	-77850.2633247374		20200831			30200831.0000000000	20200831	-1681.5496367341	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 7Y - 4791 | 26 NOV 25 | C | E | 952.7500000000 | XXXX | Internal							1.0000000000	767.6311603763
	256.7486558658		AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 PATM - 4761 | 09 NOV 21 | P | E | 1921.1400000000 | XXXX | Internal_bc1f9e9e-9e9d-11ea-a0a0-6b77645bee53_TBRX			0.9874053373		-70391.1629562739	-113727.4040126620		20200831			30200831.0000000000	20200831	-5448.4008771911	TBRX					EUR	 	AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 PATM - 4761 | 09 NOV 21 | P | E | 1921.1400000000 | XXXX | Internal							1.0000000000	1145.1359304583
