Bof_20200828
CURRENCY	CURVE_PILLAR	CURVE_PILLAR_MAT	CURVE_PILLAR_SPLIT	CURVE_PILLAR_START	CURVE_PILLAR_START_LABEL	CURVE_PILLAR_STRIKE	MARKET_RATE	OPTION_STRIKE	POSITIONID	REF_DATE	REFMARKET	RISK_NATURE	SENSITIVITYDATE	UNDERLYING	UNDERLYING_MKT	VEGA	VOLATILITY_CATEGORY	VOLATILITY_GROUP	VOLATILITY_TYPE	VOLATILITY_GROUP_TYPE	VOLATILITY_GROUP_ID	TBRICKS_INSTRUMENT_ID	MIC_JOIN_MKT_ATTR
EUR								4325.2192	EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX5E FEB22 CCAP PKB - 3328 | 14 FEB 22 | C | E | 4325.2192000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			3119.910852109723		DJES50_DJES50 risk fixed expiry			cf4df320-39d7-11e9-a900-eb52c95dd479	bb200b28-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR								364.294	EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX6E MAR23 CCAP - 4061 | 29 MAR 23 | C | E | 364.2940000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			33800.30620727498		0_EUR_UTIL_0_EUR_UTIL risk fixed expiry			ebe3f4b0-3b41-11e9-93b0-dcd608f6e958	bbc3a760-9e9d-11ea-a0a0-6b77645bee53	XXXX
USD									EQ-INDEXVOL2 | USD | Equities | Miscellaneous | Combined Instruments | EP3 SPX JAN22 IPB_L | ETLX | EuroTLX Equities	2020-08-28	ETLX	GrandTotal	2020-08-28			0						0915197a-4734-11ea-b560-bbc9543df1c2	ETLX
EUR								1957.22	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E MAR26 CATM - 5202 | 26 MAR 26 | C | E | 1957.2200000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			209898.24903695073		0_EUR_SELDIV_0_EUR_SELDIV risk fixed expiry			eb0581d0-3b41-11e9-93b0-dcd608f6e958	bc870926-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | DEUTSCHE TELEKOM | MTAH | BIT MTA	2020-08-28	MTAH	GrandTotal	2020-08-28			0						ef9f4c36-1f2a-11e9-a2d0-b3645e528b7a	MTAH
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | DANONE | XPAR | Euronext Optiq	2020-08-28	XPAR	GrandTotal	2020-08-28			0						ef9c3190-1f2a-11e9-a2d0-b3645e528b7a	XPAR
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | SANOFI | MTAH | BIT MTA	2020-08-28	MTAH	GrandTotal	2020-08-28			0						efa3e2d2-1f2a-11e9-a2d0-b3645e528b7a	MTAH
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | UNILEVER | XAMS | Euronext Optiq	2020-08-28	XAMS	GrandTotal	2020-08-28			0						6e48a974-1f2b-11e9-a2d0-b3645e528b7a	XAMS
EUR								26.625	EQSSVOLOTC | EUR | Equities | Options | Call | DCX FEB24 CALL 26.625 OTC - EPSILON | 12 FEB 24 | C | E | 26.6250000000 | None | OTC Derivatives	2020-08-28	None	Total	2020-08-28			-595.1771373111367		3_DCXGn_3_DCXGn risk fixed expiry			db1fbcec-39d7-11e9-a900-eb52c95dd479	c12174f4-7710-11e9-9400-98972329be46	None
EUR								125	EQ-INDEXVOL2 | EUR | Equities | Options | Call | OEXD 202112 C 125 | 17 DEC 21 | C | E | 125.0000000000 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			-10613.838260985613		FEXD_FEXD risk fixed expiry			eb132e4a-39d7-11e9-a900-eb52c95dd479	f9cbcd96-1f30-11e9-a2d0-b3645e528b7a	XEUR
EUR								3400	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OESX 202512 P 3400 | 19 DEC 25 | P | E | 3400.0000000000 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			-270423.99897289695		DJES50_DJES50 risk fixed expiry			cf4df320-39d7-11e9-a900-eb52c95dd479	f9533192-1f30-11e9-a2d0-b3645e528b7a	XEUR
EUR								100	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OEXD 202112 P 100 | 17 DEC 21 | P | E | 100.0000000000 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			30872.87689876983		FEXD_FEXD risk fixed expiry			eb132e4a-39d7-11e9-a900-eb52c95dd479	f37ef594-1f30-11e9-a2d0-b3645e528b7a	XEUR
