BARRIER_SPREAD_DOWN	EXPIRY	MARKET_COUNTRY	SECURITY_DEATH	COMMENT_VALUE	QUOTATION	F_BARRIER_STYLE	DIGITAL_DES	SSL_SNAPSHOT_DATE	FIXING_TYPE	SSL_FEID	STARTDATE	F_QUANTO	STRIKE_MODE	EXPIRY_MATERIAL_ID	F_CASH_DELIVERY	UNDERLYINGID_FE	CLASSID	F_QPERCENTAGE	F_ADDFLOWS	BARRIER_REBATE	F_STARTMODE	LOTSIZE	FORWARD_START_DATE	PAYOUT	MARKET	DIGITAL_PAYOUT_CUR	UNDERLYINGID	BARRIER_WINDOW_START_DATE	TRADE_DATE	REF_DATE	F_DIGITAL_STANDARD	LAST_TRADING_DATE	CAP_VALUE	DISC_FACTOR	CURRENCY	QUANTITY	UNIT	MARGIN	QUANTO_FACTOR_TYPE	DELIVERY_DATE	MKT_TRDCLAUSE	F_MARGIN_CALL	F_CALL_PUT	BARRIER_REBATE_QUOTATION	QUANTITY_DIVISOR	EXPIRY_SHIFT	EXERCISE_STYLE	MULTIPLE	FLEX_FORMULA	AUTO_ROLL	QUANTO_CONVERSION_RATE	DESCRIPTION	FOREX_FACTOR	EXPIRY_LABEL	CONVERSION_TYPE_MULTICURRENCY	OTYPE	FLOOR_VALUE	PREMIUM_MODE	PAYOFF_RULE_DES	EXPIRY_ID	FLEX_TYPE	BARRIER_REBATE_TYPE	F_FLEX	CONTRACT	STRIKE	F_AMORTIZED	FIID	DIGITAL_PAYOUT	BARRIER_PERIOD	FLEX_BLOCK	AMERICAN_EUROPEAN	QUANTITY_CURRENCY	EXPIRY_STRUCT_WRNT	BARRIER_EXERCISE_STYLE	BARRIER	RIC0	RIC2	RIC1	RIC3	F_ISEXOTIC	PARITY	PAYOFF_RULE	SHIFTER	F_COMPO	EXPIRY_SET_ID	MKT_SETTLRULE	EXPIRY_SET_DESCRIPTION	BARRIER_NATURE	BARRIER_SPREAD_UP	INSTRUMENTID_FE	BARRIER_VALUE2	CAP	F_REBATE_PAYMENT	COMMENT1	COMMENT0	BARRIER_VALUE	BARRIER_WINDOW_END_DATE	EXPIRY_SET	F_CUTOFF	F_COMMODITY_WARRANT	STRIKE_KIND	FORWARD_START_STYLE	QUOTATION_ENDDATE	QUOTATION_STARTDATE	TRADING_SYMBOL	EXPIRY_RULE	MATURITY_COUNT	STARDATE_RULE	MATURITY	CLEARING_CENTER_NAME	FLEX_TYPE_DES	EXPIRY_DYN	FORM_FACTOR	UNDERLYING_EXPIRYLABEL	QUANTO_CURR	FORWARD_START_END_DATE	IS_FORWARD_START	F_CASH_DELIVERY_DETT	KNOCKSTATUS	CALL_DATE	DAYSTD	DAYSTM	F_CAPGAR	F_CERTIFICATE	F_CPPI	F_MULTIPAYMENT	F_NOMINALMODE	PERC_CAPGAR	PREMIUM_DATE	F_AUTOCALL	COMPLIANCE	FV_LEVEL
	20201207							30200831		TBRX					C	MB						0.1000000000					L_S_ef9cb372-1f2a-11e9-a2d0-b3645e528b7a_MB_TBRX			20200831					EUR								C				E					BI CW CALL MEDIOBANCA 7 E 071220		DEC 20											7.0000000000		L_S_b3a67dce-90e6-11ea-b430-b3e2b66d25c3_I06473_TBRX				E																			I06473												0															N															
	20241127							30200831		TBRX					C	ESTX SD 30 PR						1.0000000000					L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX			20200831					EUR								C				E							NOV 24											2146.9100000000		O_75d4316e-62b4-11e9-b160-4ad6f9df0bf5_SD3E NOV24 C100 BOND | 27 NOV 24 | C | E | 2146.9100000000_TBRX				E																			SD3E NOV24 C100 BOND | 27 NOV 24 | C | E | 2146.9100000000												0															N															
	20231019							30200831		TBRX					C	FESX 202009 | SEP 20						1.0000000000					L_S_f67d7c3e-1f30-11e9-a2d0-b3645e528b7a_FESX 202009 | SEP 20_TBRX			20200831					EUR								C				E							OCT 23											0.0001000000		O_722b4431-62b4-11e9-b160-4ad6f9df0bf5_EPC SX5E OCT23 CALL0 BOND | 19 OCT 23 | C | E | .0001000000_TBRX				E																			EPC SX5E OCT23 CALL0 BOND | 19 OCT 23 | C | E | .0001000000												0															N															
	20241220							30200831		TBRX					C	ESTX SD 30 PR						1.0000000000					L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX			20200831					EUR								C				E							DEC 24											2200.0000000000		O_c0446b5e-7710-11e9-9400-98972329be46_OTC SD3E c2200 DEC24 - JPM | 20 DEC 24 | C | E | 2200.0000000000_TBRX				E																			OTC SD3E c2200 DEC24 - JPM | 20 DEC 24 | C | E | 2200.0000000000												0															N															
	20201218							30200831		TBRX					C	FESB 202009 | SEP 20						50.0000000000					L_S_4997fdf0-254c-11ea-af50-2dba816f6810_FESB 202009 | SEP 20_TBRX			20200831					EUR								C				E					OESB 202012 C 75		DEC 20											75.0000000000		O_18efbd52-5507-11e9-8e20-7066b412cd9c_OESB 202012 C 75 | 18 DEC 20 | C | E | 75.0000000000_TBRX				E																			OESB 202012 C 75 | 18 DEC 20 | C | E | 75.0000000000												0															N															
	20220617							30200831		TBRX					P	ENI						500.0000000000					L_S_ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a_ENI_TBRX			20200831					EUR								C				A					ENI2F13		JUN 22											13.0000000000		O_97f9efde-494d-11e9-9970-3027219c6795_ENI2F13 | 17 JUN 22 | C | A | 13.0000000000_TBRX				A																			ENI2F13 | 17 JUN 22 | C | A | 13.0000000000												0															N															
	20210624							30200831		TBRX					C	FTSE MIB						1.0000000000					L_S_7d286b02-5151-11e9-b8d0-ec23cf8de3db_FTSE MIB_TBRX			20200831					EUR								C				E							JUN 21											12917.6591840000		O_76addbb4-bb6c-11ea-a390-a48e539180ad_FTMIB C 12917.659 21 - 5761 | 24 JUN 21 | C | E | 12917.6591840000_TBRX				E																			FTMIB C 12917.659 21 - 5761 | 24 JUN 21 | C | E | 12917.6591840000												0															N															
	20231221							30200831		TBRX					C	FESX 202009 | SEP 20						1.0000000000					L_S_f67d7c3e-1f30-11e9-a2d0-b3645e528b7a_FESX 202009 | SEP 20_TBRX			20200831					EUR								C				E							DEC 23											1493.2650000000		O_bc2d9198-9e9d-11ea-a0a0-6b77645bee53_OPT_EP CED DEC25 SX5E DEC25 CALL50 5Y - 4815 | 21 DEC 23 | C | E | 1493.2650000000_TBRX				E																			OPT_EP CED DEC25 SX5E DEC25 CALL50 5Y - 4815 | 21 DEC 23 | C | E | 1493.2650000000												0															N															
	20220912							30200831		TBRX					C	ESTX SD 30 PR						1.0000000000					L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX			20200831					EUR								C				E							SEP 22											0.0001000000		O_83412960-62b4-11e9-b160-4ad6f9df0bf5_SD3E SEP22 CALL0 BOND | 12 SEP 22 | C | E | .0001000000_TBRX				E																			SD3E SEP22 CALL0 BOND | 12 SEP 22 | C | E | .0001000000												0															N															
	20240130							30200831		TBRX					C	FIB0I | SEP 20						1.0000000000					L_S_87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc_FIB0I | SEP 20_TBRX			20200831					EUR								X				X					BI FTMIBCPP125%CE010224		JAN 24											0.0000000000		L_S_2750f4ea-39b6-11e9-aa00-490041a9bcec_EPC FTMIB FEB24 FID_TBRX				X																			EPC FTMIB FEB24 FID												0															N															
