INSTRUMENTID_FE	REF_DATE	MARKET	RIC0	SYMBOL	SEDOL	MKT_SETTL_CONV	EXCHANGE_MARKET_CODE	FINAL_SETTLEMENT_DAYS	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	MARKET_NAME	F_IS_PRIMARY
FIREEYE INC	20200831	XLON	146993	FEYE		2		2	L_S_5ae86ea2-1f2e-11e9-a2d0-b3645e528b7a_FIREEYE INC_TBRX	TBRX	30200831	LSE Millennium	N
AUSTRIA MICROSYS	20200831	ETLX	515447	AMS		2		2	L_S_34380272-1f2e-11e9-a2d0-b3645e528b7a_AUSTRIA MICROSYS_TBRX	TBRX	30200831	EuroTLX Equities	N
ROYAL CARIBBEAN	20200831	XNAS	RCL.N	0I1W	B290YB3	2		2	L_S_5af18c58-1f2e-11e9-a2d0-b3645e528b7a_ROYAL CARIBBEAN_TBRX	TBRX	30200831	Reuters Elektron	Y
ENI1R6.40 | 18 JUN 21 | P | A | 6.4000000000	20200831	XXXX	zp:IZA5	ENI		1		2	O_a91c8cb4-39b6-11e9-aa00-490041a9bcec_ENI1R6.40 | 18 JUN 21 | P | A | 6.4000000000_TBRX	TBRX	30200831	Internal	N
BASF	20200831	XXXX	20736	BASF		2		2	L_S_efa3354e-1f2a-11e9-a2d0-b3645e528b7a_BASF_TBRX	TBRX	30200831	Internal	N
AKU1	20200831	XLON	151711	AKU1	BJB54Z9	2		2	L_S_6e52bffe-1f2b-11e9-a2d0-b3645e528b7a_AKU1_TBRX	TBRX	30200831	LSE Millennium	N
MERCK & CO USD	20200831	XNYS	MRK.N	MRK		2		2	L_S_250c5dde-514c-11e9-b8d0-ec23cf8de3db_MERCK & CO USD_TBRX	TBRX	30200831	Reuters Elektron	Y
FCA0X5 | 18 DEC 20 | P | A | 5.0000000000	20200831	XDMI	tN:ILIA	FCA		1		2	O_1996aee8-68e6-11ea-b590-6fff5ca3048c_FCA0X5 | 18 DEC 20 | P | A | 5.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
MCDONALD'S CORP EUR	20200831	ETLX	501131	MD-U		2		2	L_S_e35a6f36-1f2b-11e9-a2d0-b3645e528b7a_MCDONALD'S CORP EUR_TBRX	TBRX	30200831	EuroTLX Equities	N
Q2 Holdings Inc	20200831	XNYS	USD:N:4:US74736L1098	QTWO		2		2	L_S_9dd15f15-648a-11ea-92ff-d46aba8b31a8_Q2 Holdings Inc_TBRX	TBRX	30200831	Virtu	N
1_LVMH H391.965 - OTC EPSILON | 05 AUG 21 | C | E | 391.9650000000	20200831	XXXX	31116215			2		5	O_6ef9d88e-d6ef-11ea-9a70-8c74e2c4ffa0_1_LVMH H391.965 - OTC EPSILON | 05 AUG 21 | C | E | 391.9650000000_TBRX	TBRX	30200831	OTC Derivatives	Y
TRN	20200831	XLON	77242	TRN	B28MY09	2		2	L_S_efa1a24c-1f2a-11e9-a2d0-b3645e528b7a_TRN_TBRX	TBRX	30200831	LSE Millennium	N
OEXD 202112 P 95 | 17 DEC 21 | P | E | 95.0000000000	20200831	XEUR	2164370	OEXD		2		2	O_f9cbbedc-1f30-11e9-a2d0-b3645e528b7a_OEXD 202112 P 95 | 17 DEC 21 | P | E | 95.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
NEXTERA ENERGY	20200831	XNYS	USD:N:4:US65339F1012	NEE		2		2	L_S_5a810de8-1f2e-11e9-a2d0-b3645e528b7a_NEXTERA ENERGY_TBRX	TBRX	30200831	Virtu	N
STXE 600 HECR PR	20200831	XEUR	.SXDP			2		2	L_S_7d17ee58-5151-11e9-b8d0-ec23cf8de3db_STXE 600 HECR PR_TBRX	TBRX	30200831	Reuters Elektron	Y
Otter Tail	20200831	XNAS	OTTR.O	OTTR		2		2	L_S_addd3866-6767-11ea-2e30-ea699f430b9a_Otter Tail_TBRX	TBRX	30200831	Reuters Elektron	Y
20508939 | 17 DEC 21 | C | A | 4.6000000000	20200831	XXXX	20508939			2		2	O_c4de440a-7710-11e9-9400-98972329be46_20508939 | 17 DEC 21 | C | A | 4.6000000000_TBRX	TBRX	30200831	OTC Derivatives	Y
WASTE MANAGEMENT INC	20200831	XNYS	WM.N	WM		2		2	L_S_5ade1e34-1f2e-11e9-a2d0-b3645e528b7a_WASTE MANAGEMENT INC_TBRX	TBRX	30200831	Reuters Elektron	Y
NORTHROP GRUMMAN CORP	20200831	XNYS	NOC.N	NOC		2		2	L_S_5a680da2-1f2e-11e9-a2d0-b3645e528b7a_NORTHROP GRUMMAN CORP_TBRX	TBRX	30200831	Reuters Elektron	Y
ENI2X11 | 16 DEC 22 | P | A | 11.0000000000	20200831	XDMI	zp:IBJ5	ENI		1		2	O_9895aa1e-494d-11e9-9970-3027219c6795_ENI2X11 | 16 DEC 22 | P | A | 11.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
SD3E OCT24 P100 BOND | 29 OCT 24 | P | E | 2177.0900000000	20200831	XXXX	23558417			2		2	O_7da170be-62b4-11e9-b160-4ad6f9df0bf5_SD3E OCT24 P100 BOND | 29 OCT 24 | P | E | 2177.0900000000_TBRX	TBRX	30200831	Internal	Y
COP	20200831	ETLX	31632	COP		2		2	L_S_e33b8134-1f2b-11e9-a2d0-b3645e528b7a_COP_TBRX	TBRX	30200831	EuroTLX Equities	N
VENTAS INC	20200831	XLON	146402	VTR		2		2	L_S_5aee3404-1f2e-11e9-a2d0-b3645e528b7a_VENTAS INC_TBRX	TBRX	30200831	LSE Millennium	N
SPLUNK INC	20200831	XNAS	SPLK.O	SPLK		2		2	L_S_5a393d74-1f2e-11e9-a2d0-b3645e528b7a_SPLUNK INC_TBRX	TBRX	30200831	Reuters Elektron	Y
OPT_SX6E JUL26 P95 - 5112 | 29 JUL 26 | P | E | 307.1300000000	20200831	XXXX	30813771	5112		2		2	O_a7bf39f4-aef7-11ea-8700-3d076c78611f_OPT_SX6E JUL26 P95 - 5112 | 29 JUL 26 | P | E | 307.1300000000_TBRX	TBRX	30200831	Internal	Y
WASTE MANAGEMENT INC	20200831	XLON	146412	WM		2		2	L_S_5ade1e34-1f2e-11e9-a2d0-b3645e528b7a_WASTE MANAGEMENT INC_TBRX	TBRX	30200831	LSE Millennium	N
NORTHROP GRUMMAN CORP	20200831	XLON	145791	NOC		2		2	L_S_5a680da2-1f2e-11e9-a2d0-b3645e528b7a_NORTHROP GRUMMAN CORP_TBRX	TBRX	30200831	LSE Millennium	N
I05948	20200831	SEDX	853563	I05948		2		2	L_S_405dab1a-1659-11ea-b3f0-689a4e2fd020_I05948_TBRX	TBRX	30200831	BIT SEDEX	Y
VENTAS INC	20200831	XNYS	USD:N:4:US92276F1003	VTR		2		2	L_S_5aee3404-1f2e-11e9-a2d0-b3645e528b7a_VENTAS INC_TBRX	TBRX	30200831	Virtu	N
SPTV	20200831	XAIM	821948	SPTV	BFWMTD4	2		2	L_S_ef9c8852-1f2a-11e9-a2d0-b3645e528b7a_SPTV_TBRX	TBRX	30200831	BIT MTA	Y
SD3E MAR22 P100 BOND | 29 MAR 22 | P | E | 1825.7100000000	20200831	XXXX	20312686			2		5	O_8751d4bf-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAR22 P100 BOND | 29 MAR 22 | P | E | 1825.7100000000_TBRX	TBRX	30200831	Internal	Y
ORACLE CORP USD	20200831	XLON	145795	ORCL		2		2	L_S_5a96421c-1f2e-11e9-a2d0-b3645e528b7a_ORACLE CORP USD_TBRX	TBRX	30200831	LSE Millennium	N
UCG0L10.50 | 18 DEC 20 | C | A | 10.5000000000	20200831	XDMI	xs:I2EC	UCG		1		2	O_ff436dfe-2553-11ea-af50-2dba816f6810_UCG0L10.50 | 18 DEC 20 | C | A | 10.5000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
TRN0I6.30 | 18 SEP 20 | C | A | 6.3000000000	20200831	XDMI	xp:IWR4	TRN		1		2	O_ab44ae36-e2a7-11ea-88e0-76012705c10a_TRN0I6.30 | 18 SEP 20 | C | A | 6.3000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
WSDM TRE INVST	20200831	XNAS	USD:O:4:US97717P1049	WETF		2		2	L_S_5a4a7300-1f2e-11e9-a2d0-b3645e528b7a_WSDM TRE INVST_TBRX	TBRX	30200831	Virtu	N
EP3 SD3E JAN23 BDT	20200831	ETLX	511315			2		2	L_S_3429cb3a-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E JAN23 BDT_TBRX	TBRX	30200831	EuroTLX Equities	Y
ENEL1X6.80 | 17 DEC 21 | P | A | 6.8000000000	20200831	XDMI	zc:I5M5	ENEL		1		2	O_4dce603a-1f30-11e9-a2d0-b3645e528b7a_ENEL1X6.80 | 17 DEC 21 | P | A | 6.8000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
FIREEYE INC	20200831	XNAS	USD:O:4:US31816Q1013	FEYE		2		2	L_S_5ae86ea2-1f2e-11e9-a2d0-b3645e528b7a_FIREEYE INC_TBRX	TBRX	30200831	Virtu	N
ROSS STORES	20200831	XNAS	USD:O:4:US7782961038	ROST		2		2	L_S_5adc6576-1f2e-11e9-a2d0-b3645e528b7a_ROSS STORES_TBRX	TBRX	30200831	Virtu	N
BAS 202012 C 60 | 18 DEC 20 | C | A | 60.0000000000	20200831	XEUR	1553819	BAS		2		2	O_f4653112-1f30-11e9-a2d0-b3645e528b7a_BAS 202012 C 60 | 18 DEC 20 | C | A | 60.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
AUSTRIA MICROSYS	20200831	XVIE	EUR:VI:4:AT0000A18XM4	AMS		2		2	L_S_34380272-1f2e-11e9-a2d0-b3645e528b7a_AUSTRIA MICROSYS_TBRX	TBRX	30200831	Virtu	N
SX5E FEB22 P95 PKB | 14 FEB 22 | P | E | 3313.6800000000	20200831	XXXX	17468021			2		5	O_7f33b982-62b4-11e9-b160-4ad6f9df0bf5_SX5E FEB22 P95 PKB | 14 FEB 22 | P | E | 3313.6800000000_TBRX	TBRX	30200831	Internal	Y
I06453	20200831	SEDX	864492	I06453		2		2	L_S_b3e894ca-90e6-11ea-b430-b3e2b66d25c3_I06453_TBRX	TBRX	30200831	BIT SEDEX	Y
Aspen Aerogels Inc	20200831	XNYS	USD:N:4:US04523Y1055	ASPN		2		2	L_S_5a0d06bc-cff9-11e9-7e81-53afc1595aa4_Aspen Aerogels Inc_TBRX	TBRX	30200831	Virtu	N
OPT_SD3E NOV26 P90 - 5332 | 18 NOV 26 | P | E | 1865.0340000000	20200831	XXXX	30678881	5332		2		2	O_bc8b80d2-9e9d-11ea-a0a0-6b77645bee53_OPT_SD3E NOV26 P90 - 5332 | 18 NOV 26 | P | E | 1865.0340000000_TBRX	TBRX	30200831	Internal	Y
OESX 202112 C 3500 | 17 DEC 21 | C | E | 3500.0000000000	20200831	XEUR	620935	OESX		2		2	O_f44903de-1f30-11e9-a2d0-b3645e528b7a_OESX 202112 C 3500 | 17 DEC 21 | C | E | 3500.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
RYMAN HSPTY PROP	20200831	XNYS	RHP.N	RHP		2		2	L_S_251050e2-514c-11e9-b8d0-ec23cf8de3db_RYMAN HSPTY PROP_TBRX	TBRX	30200831	Reuters Elektron	Y
MCDONALD'S CORP EUR	20200831	XETR	2506527	MD-U		2		2	L_S_e35a6f36-1f2b-11e9-a2d0-b3645e528b7a_MCDONALD'S CORP EUR_TBRX	TBRX	30200831	Xetra T7	Y
UCG0X6 | 18 DEC 20 | P | A | 6.0000000000	20200831	XDMI	xs:IF2B	UCG		1		2	O_4cb7b160-1f30-11e9-a2d0-b3645e528b7a_UCG0X6 | 18 DEC 20 | P | A | 6.0000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
CERT SD3E APR26 BDT C66.66 2Y | 26 APR 21 | C | E | 1363.5535000000	20200831	XXXX	27480681			2		2	O_b9c105da-7710-11e9-9400-98972329be46_CERT SD3E APR26 BDT C66.66 2Y | 26 APR 21 | C | E | 1363.5535000000_TBRX	TBRX	30200831	Internal	Y
EPC SD3E SEP24 C100 BOND | 09 SEP 24 | C | E | 1958.8700000000	20200831	XXXX	25781001			2		5	O_7b8ab434-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E SEP24 C100 BOND | 09 SEP 24 | C | E | 1958.8700000000_TBRX	TBRX	30200831	Internal	Y
FCA1O8.20 | 19 MAR 21 | P | A | 8.2000000000	20200831	XDMI	tN:I5NA	FCA		1		2	O_427f95a6-6e66-11ea-9690-7ace7c43a1ba_FCA1O8.20 | 19 MAR 21 | P | A | 8.2000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
GAP INC COM	20200831	XNYS	GPS.N	GAP		2		2	L_S_5ad76e72-1f2e-11e9-a2d0-b3645e528b7a_GAP INC COM_TBRX	TBRX	30200831	Reuters Elektron	Y
SPTV	20200831	XLON	147419	SPTV	BFWMTD4	2		2	L_S_ef9c8852-1f2a-11e9-a2d0-b3645e528b7a_SPTV_TBRX	TBRX	30200831	LSE Millennium	N
BYG FEB21 CALL 16.585 OTC - EPSILON | 11 FEB 21 | C | E | 16.5850000000	20200831	XXXX	26855276			1		5	O_c123b412-7710-11e9-9400-98972329be46_BYG FEB21 CALL 16.585 OTC - EPSILON | 11 FEB 21 | C | E | 16.5850000000_TBRX	TBRX	30200831	OTC Derivatives	Y
MAP/AC 0,10	20200831	XMAD	MAP.MC	MAP		2		2	L_S_5b242a6e-1f2e-11e9-a2d0-b3645e528b7a_MAP/AC 0,10_TBRX	TBRX	30200831	Reuters Elektron	Y
ORACLE CORP USD	20200831	XNYS	USD:N:4:US68389X1054	ORCL		2		2	L_S_5a96421c-1f2e-11e9-a2d0-b3645e528b7a_ORACLE CORP USD_TBRX	TBRX	30200831	Virtu	N
OESX 202012 P 3400 | 18 DEC 20 | P | E | 3400.0000000000	20200831	XEUR	27249	OESX		2		2	O_f380e7b4-1f30-11e9-a2d0-b3645e528b7a_OESX 202012 P 3400 | 18 DEC 20 | P | E | 3400.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
OESX 202012 C 3300 | 18 DEC 20 | C | E | 3300.0000000000	20200831	XEUR	27246	OESX		2		2	O_f380d594-1f30-11e9-a2d0-b3645e528b7a_OESX 202012 C 3300 | 18 DEC 20 | C | E | 3300.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
IRC	20200831	XXXX	329	IRC	B28JMM8	2		2	L_S_efa321ee-1f2a-11e9-a2d0-b3645e528b7a_IRC_TBRX	TBRX	30200831	Internal	N
BAMI0X1.20 | 18 DEC 20 | P | A | 1.2000000000	20200831	XDMI	Eb:IB92	BAMI		1		2	O_994bc6a0-494d-11e9-9970-3027219c6795_BAMI0X1.20 | 18 DEC 20 | P | A | 1.2000000000_TBRX	TBRX	30200831	Borsa Italiana IDEM	Y
Funko Inc	20200831	XNAS	FNKO.O	FNKO		2		2	L_S_cc59aee7-498c-11ea-15db-13f2ca8772a7_Funko Inc_TBRX	TBRX	30200831	Reuters Elektron	Y
SAGE	20200831	XNAS	USD:O:4:US78667J1088	SAGE		2		2	L_S_736e2286-9c22-11ea-ae57-130361979292_SAGE_TBRX	TBRX	30200831	Virtu	N
DEUTSCHE TELEKOM	20200831	PROS		DTE		2		2	L_S_ef9f4c36-1f2a-11e9-a2d0-b3645e528b7a_DEUTSCHE TELEKOM_TBRX	TBRX	30200831	Proxy IMI	N
RDSA MAR24 CALL 14.45 OTC - EPSILON | 13 MAR 24 | C | E | 14.4500000000	20200831	XXXX	27161582			12		5	O_bc679c72-7710-11e9-9400-98972329be46_RDSA MAR24 CALL 14.45 OTC - EPSILON | 13 MAR 24 | C | E | 14.4500000000_TBRX	TBRX	30200831	OTC Derivatives	Y
CBG.N	20200831	XNYS	CBRE.N	CBG		2		2	L_S_5a87158a-1f2e-11e9-a2d0-b3645e528b7a_CBG.N_TBRX	TBRX	30200831	Reuters Elektron	Y
NORTHERN TRUST	20200831	XNAS	NTRS.O	NTRS		2		2	L_S_5a851168-1f2e-11e9-a2d0-b3645e528b7a_NORTHERN TRUST_TBRX	TBRX	30200831	Reuters Elektron	Y
I05852	20200831	SEDX	853637	I05852		2		2	L_S_405a901a-1659-11ea-b3f0-689a4e2fd020_I05852_TBRX	TBRX	30200831	BIT SEDEX	Y
VOLKSWAGEN PREF	20200831	XETR	VOWG_p.DE	VOW3-U		2		2	L_S_efa15aa8-1f2a-11e9-a2d0-b3645e528b7a_VOLKSWAGEN PREF_TBRX	TBRX	30200831	Reuters Elektron	N
