Bof_20200828
POSITIONID_FE	SETTLEMENTDATE	QUANTITY	AVERAGE_PRICE	REF_DATE	TBRICKS_INSTRUMENT_ID
EQSSVOLOTC | EUR | Equities | Options | Call | ENEL MAR25 CALL 2.8475 OTC - EPSILON | 13 MAR 25 | C | E | 2.8475000000 | None | OTC Derivatives	2020-08-28	-24582.94	1.6410124914595237	2020-08-28	bc4e5456-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | BNP MAR24 CALL 22.365 OTC - EPSILON | 13 MAR 24 | C | E | 22.3650000000 | None | OTC Derivatives	2020-08-28	-3129.8899999999994	14.027258357641964	2020-08-28	bc510aca-7710-11e9-9400-98972329be46
EQ-INDEXVOL2 | EUR | Equities | Rights | Warrants Put | I05862 | SEDX | BIT SEDEX	2020-09-01	600	0.19149999999999998	2020-08-28	405d5c46-1659-11ea-b3f0-689a4e2fd020
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_SX5E APR22 P90 - 3727 | 28 APR 22 | P | E | 2725.3890000000 | XXXX | Internal	2020-08-31	6.60456	169.79704649300004	2020-08-28	bb7b4d8a-9e9d-11ea-a0a0-6b77645bee53
EQ-INDEXVOL2 | EUR | Equities | Options | Call | MIBO0L21000 | 18 DEC 20 | C | E | 21000.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	10	2578.4966570184665	2020-08-28	4d99a5e8-1f30-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OESX 202212 P 3400 | 16 DEC 22 | P | E | 3400.0000000000 | XEUR | Eurex NTA	2020-08-28	-1000	761.8907184213616	2020-08-28	f448fe70-1f30-11e9-a2d0-b3645e528b7a
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | KIRBY CORP | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	250a8694-514c-11e9-b8d0-ec23cf8de3db
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | VIPSHOP HOLD LTD | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	5a3c1922-1f2e-11e9-a2d0-b3645e528b7a
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | SLM CORPORATION | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	251074f0-514c-11e9-b8d0-ec23cf8de3db
LONG_ONLY | EUR | Equities | Equities | Common/Ordinary shares | RENAULT | XPAR | Euronext Optiq	2020-08-28	0	0	2020-08-28	ef9e4db8-1f2a-11e9-a2d0-b3645e528b7a
