POSPRICE	BASECURR_PORTCURR	POSITIONID	F_PURGED	QUANTITY	QUANTITY_BUY	QUOTCURR_PORTCURR	POSPRICE_BUY	PORTFOLIOID	QUANTITY_SELL	CURRENCY	SSL_SNAPSHOT_DATE	SSL_FEID	POSPRICE_SELL	FIID	PORTFOLIOID_FE	REF_DATE	POSITIONID_FE	INSTRUMENT_FE	MFAMILY	MGROUP	MTYPE	PL_KEY_FE	RSKSECTION	TYPOLOGY	USAGE	INTRADAY	QUANTITY_LIVE	SRC_ENTITYID	EQUIVALENT_POSITION
2.2378849379		AA | EUR | Equities | Options | Call | OPT_SD3E NOV26 CCAP - 5332 | 18 NOV 26 | C | E | 2735.3832000000 | XXXX | Internal_bc8c2672-9e9d-11ea-a0a0-6b77645bee53_TBRX	N	30583.0394400000	30583.5220050000			AA_TBRX	0.4825650000	EUR	30200831	TBRX		O_bc8c2672-9e9d-11ea-a0a0-6b77645bee53_OPT_SD3E NOV26 CCAP - 5332 | 18 NOV 26 | C | E | 2735.3832000000_TBRX	AA	20200831	AA | EUR | Equities | Options | Call | OPT_SD3E NOV26 CCAP - 5332 | 18 NOV 26 | C | E | 2735.3832000000 | XXXX | Internal	OPT_SD3E NOV26 CCAP - 5332	Equities	Options	Call	XXXX						INTESA SANPAOLO SPA - MILANO	
13.4701805075		EQSSVOLOTC | EUR | Equities | Options | Call | BNP FEB23 CALL 21.065 OTC - EPSILON | 13 FEB 23 | C | E | 21.0650000000 | None | OTC Derivatives_c10a59ea-7710-11e9-9400-98972329be46_TBRX	N	-4035.1293000000	4272.4900000000			EQSSVOLOTC_TBRX	8307.6193000000	EUR	30200831	TBRX		O_c10a59ea-7710-11e9-9400-98972329be46_BNP FEB23 CALL 21.065 OTC - EPSILON | 13 FEB 23 | C | E | 21.0650000000_TBRX	EQSSVOLOTC	20200831	EQSSVOLOTC | EUR | Equities | Options | Call | BNP FEB23 CALL 21.065 OTC - EPSILON | 13 FEB 23 | C | E | 21.0650000000 | None | OTC Derivatives	BNP FEB23 CALL 21.065 OTC - EPSILON	Equities	Options	Call	None						INTESA SANPAOLO SPA - MILANO	
0.0011000000		EQ_SSVOL | EUR | Equities | Rights | Warrants Call | I06186 | SEDX | BIT SEDEX_d3a9f1c8-5211-11ea-8640-38c7f938b954_TBRX	N	-10000.0000000000	0.0000000000			EQ_SSVOL_TBRX	10000.0000000000	EUR	30200831	TBRX		L_S_d3a9f1c8-5211-11ea-8640-38c7f938b954_I06186_TBRX	EQ_SSVOL	20200831	EQ_SSVOL | EUR | Equities | Rights | Warrants Call | I06186 | SEDX | BIT SEDEX	I06186	Equities	Rights	Warrants Call	SEDX						INTESA SANPAOLO SPA - MILANO	
0.0000000000		RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Cohen Steers | XNYS | Reuters Elektron_70bcdc1c-8637-11ea-afe7-4d618829edb5_TBRX	N	0.0000000000	2033.0000000000			RELATIVE09_TBRX	2033.0000000000	USD	30200831	TBRX		L_S_70bcdc1c-8637-11ea-afe7-4d618829edb5_Cohen Steers_TBRX	RELATIVE09	20200831	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Cohen Steers | XNYS | Reuters Elektron	Cohen Steers	Equities	Equities	Common/Ordinary shares	XNYS						INTESA SANPAOLO SPA - MILANO	
0.0000000000		EPSILON | EUR | Equities | Equities | Common/Ordinary shares | PROSUS | XAMS | Euronext Optiq_93a86efe-d388-11e9-92c0-30299d27d1bc_TBRX	N	0.0000000000	1300.0000000000			EPSILON_TBRX	1300.0000000000	EUR	30200831	TBRX		L_S_93a86efe-d388-11e9-92c0-30299d27d1bc_PROSUS_TBRX	EPSILON	20200831	EPSILON | EUR | Equities | Equities | Common/Ordinary shares | PROSUS | XAMS | Euronext Optiq	PROSUS	Equities	Equities	Common/Ordinary shares	XAMS						INTESA SANPAOLO SPA - MILANO	
8.5571423571		EQ-TLX | EUR | Equities | Equities | Common/Ordinary shares | DEUTSCHE BANK | XETR | Xetra T7_efa3973c-1f2a-11e9-a2d0-b3645e528b7a_TBRX	N	-3428.0000000000	2687.0000000000			EQ-TLX_TBRX	6115.0000000000	EUR	30200831	TBRX		L_S_efa3973c-1f2a-11e9-a2d0-b3645e528b7a_DEUTSCHE BANK_TBRX	EQ-TLX	20200831	EQ-TLX | EUR | Equities | Equities | Common/Ordinary shares | DEUTSCHE BANK | XETR | Xetra T7	DEUTSCHE BANK	Equities	Equities	Common/Ordinary shares	XETR						INTESA SANPAOLO SPA - MILANO	
0.0000000000		SYST_VOL | EUR | Equities | Equities | Common/Ordinary shares | RANDSTAD NV | XAMS | Euronext Optiq_6e48a186-1f2b-11e9-a2d0-b3645e528b7a_TBRX	N	0.0000000000	4500.0000000000			SYST_VOL_TBRX	4500.0000000000	EUR	30200831	TBRX		L_S_6e48a186-1f2b-11e9-a2d0-b3645e528b7a_RANDSTAD NV_TBRX	SYST_VOL	20200831	SYST_VOL | EUR | Equities | Equities | Common/Ordinary shares | RANDSTAD NV | XAMS | Euronext Optiq	RANDSTAD NV	Equities	Equities	Common/Ordinary shares	XAMS						INTESA SANPAOLO SPA - MILANO	
0.0000000000		STRATEGIC | EUR | Equities | Futures | Financial Futures | FSTT 202009 | SEP 20 | XEUR | Eurex NTA_499a7ea4-254c-11ea-af50-2dba816f6810_TBRX	N	0.0000000000	170.0000000000			STRATEGIC_TBRX	170.0000000000	EUR	30200831	TBRX		L_S_499a7ea4-254c-11ea-af50-2dba816f6810_FSTT 202009 | SEP 20_TBRX	STRATEGIC	20200831	STRATEGIC | EUR | Equities | Futures | Financial Futures | FSTT 202009 | SEP 20 | XEUR | Eurex NTA	FSTT 202009	Equities	Futures	Financial Futures	XEUR						INTESA SANPAOLO SPA - MILANO	
56.7760700768		VOL_STOCK_IDX_PR | EUR | Equities | Options | Call | OPT_SX6E MAR23 CATM - 4061 | 29 MAR 23 | C | E | 260.2100000000 | XXXX | Internal_bbc24258-9e9d-11ea-a0a0-6b77645bee53_TBRX	N	17224.5501000000	19584.1828000000			VOL_STOCK_IDX_PR_TBRX	2359.6327000000	EUR	30200831	TBRX		O_bbc24258-9e9d-11ea-a0a0-6b77645bee53_OPT_SX6E MAR23 CATM - 4061 | 29 MAR 23 | C | E | 260.2100000000_TBRX	VOL_STOCK_IDX_PR	20200831	VOL_STOCK_IDX_PR | EUR | Equities | Options | Call | OPT_SX6E MAR23 CATM - 4061 | 29 MAR 23 | C | E | 260.2100000000 | XXXX | Internal	OPT_SX6E MAR23 CATM - 4061	Equities	Options	Call	XXXX						INTESA SANPAOLO SPA - MILANO	
0.0330000000		EQ_SSVOL | EUR | Equities | Options | Put | TIT0U0.44 | 18 SEP 20 | P | A | .4400000000 | XDMI | Borsa Italiana IDEM_87fc5f3e-ddc9-11e9-9eb0-e7766f5ef7bc_TBRX	N	-1.0000000000	0.0000000000			EQ_SSVOL_TBRX	1.0000000000	EUR	30200831	TBRX		O_87fc5f3e-ddc9-11e9-9eb0-e7766f5ef7bc_TIT0U0.44 | 18 SEP 20 | P | A | .4400000000_TBRX	EQ_SSVOL	20200831	EQ_SSVOL | EUR | Equities | Options | Put | TIT0U0.44 | 18 SEP 20 | P | A | .4400000000 | XDMI | Borsa Italiana IDEM	TIT0U0.44	Equities	Options	Put	XDMI						INTESA SANPAOLO SPA - MILANO	
