ISS_NUMOUT	INSTRUMENTID_FE	ISS_PRICE	UNDERLYINGID	MKT_TRDCLAUSE	MKT_SETTL_CONV	F_TAX_CREDIT	MKT_SETTL_TYPE	ORIGINAL_CURRENCY	RIC3	RIC1	RIC2	RIC0	ISSUERID	MKT_SETTL_PAYSHIFT	FIID	MKT_SETTLRULE	GUARANTOR	LOTSIZE1	LOTSIZE0	MARKET	CURRENCY	F_GUARANTED	SSL_SNAPSHOT_DATE	ISIN	DESCRIPTION	QUOTATION	ISS_NUM	F_QPERCENTAGE	UNDERLYINGID_FE	LEADMANAGER	ISS_DATE	SENIORITY	F_QDIRTY	SSL_FEID	SECURITY_DEATH	F_DIVIDEND_GEN_MODE	REF_DATE	CLEARING_CENTER_NAME
	INVITAE ORD		L_S_5a41744e-1f2e-11e9-a2d0-b3645e528b7a_INVITAE ORD_TBRX				Cash						0C9243_TBRX		L_S_5a41744e-1f2e-11e9-a2d0-b3645e528b7a_INVITAE ORD_TBRX				1.0000000000	 	USD		30200831.0000000000	US46185L1035	INVITAE ORD		0		INVITAE ORD		20180124		0	TBRX			20200831	
	LCC		L_S_ef9e5196-1f2a-11e9-a2d0-b3645e528b7a_LCC_TBRX				Cash						LIFE CARE CAPITAL_TBRX		L_S_ef9e5196-1f2a-11e9-a2d0-b3645e528b7a_LCC_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0005323560	LIFE CARE CAPITAL		0		LCC		20180307		0	TBRX			20200831	
	WALT DISNEY EUR		L_S_5a9d2078-1f2e-11e9-a2d0-b3645e528b7a_WALT DISNEY USD_TBRX				Cash						The Walt Disney Co._TBRX		L_S_e359da9e-1f2b-11e9-a2d0-b3645e528b7a_WALT DISNEY EUR_TBRX				1.0000000000	 	EUR		30200831.0000000000	US2546871060	THE WALT DISNEY		0		WALT DISNEY USD		20000216		0	TBRX			20200831	
	CIENA CORPRATION USD		L_S_5ab1034a-1f2e-11e9-a2d0-b3645e528b7a_CIENA CORPRATION USD_TBRX				Cash						0B5998_TBRX		L_S_5ab1034a-1f2e-11e9-a2d0-b3645e528b7a_CIENA CORPRATION USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US1717793095	CIENA ORD		0		CIENA CORPRATION USD		20180125		0	TBRX			20200831	
	IBM USD		L_S_5a489350-1f2e-11e9-a2d0-b3645e528b7a_IBM USD_TBRX				Cash						INPAA_TBRX		L_S_5a489350-1f2e-11e9-a2d0-b3645e528b7a_IBM USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US4592001014	IBM		0		IBM USD		20040927		0	TBRX			20200831	
	HSBC HLDGS.UK		L_S_5a3eb646-1f2e-11e9-a2d0-b3645e528b7a_HSBC HLDGS.UK_TBRX				Cash						HSGA_TBRX		L_S_5a3eb646-1f2e-11e9-a2d0-b3645e528b7a_HSBC HLDGS.UK_TBRX				1.0000000000	 	GBP		30200831.0000000000	GB0005405286	HSBC HLDGS.UK		0		HSBC HLDGS.UK		20060113		0	TBRX			20200831	
	WILLIAMS COMPS		L_S_5a71392c-1f2e-11e9-a2d0-b3645e528b7a_WILLIAMS COMPS_TBRX				Cash						0C3148_TBRX		L_S_5a71392c-1f2e-11e9-a2d0-b3645e528b7a_WILLIAMS COMPS_TBRX				1.0000000000	 	USD		30200831.0000000000	US9694571004	WILLIAMS ORD		0		WILLIAMS COMPS		20180118		0	TBRX			20200831	
	S&P 500 INDEX		L_S_7d11f02a-5151-11e9-b8d0-ec23cf8de3db_S&P 500 INDEX_TBRX				Cash								L_S_7d11f02a-5151-11e9-b8d0-ec23cf8de3db_S&P 500 INDEX_TBRX				250.0000000000	 	USD		30200831.0000000000	US78378X1072	S&P 500 INDEX		0		S&P 500 INDEX				0	TBRX			20200831	
	TYSON FOODS		L_S_5ac8c93a-1f2e-11e9-a2d0-b3645e528b7a_TYSON FOODS_TBRX				Cash						0C1141_TBRX		L_S_5ac8c93a-1f2e-11e9-a2d0-b3645e528b7a_TYSON FOODS_TBRX				1.0000000000	 	USD		30200831.0000000000	US9024941034	TYSON FOODS CL		0		TYSON FOODS		20180118		0	TBRX			20200831	
	TSPA		L_S_efa2fe76-1f2a-11e9-a2d0-b3645e528b7a_TSPA_TBRX				Cash						THESPAC_TBRX		L_S_efa2fe76-1f2a-11e9-a2d0-b3645e528b7a_TSPA_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0005335754	THESPAC		0		TSPA		20180802		0	TBRX			20200831	
	BG Foods		L_S_faaafa48-9521-11ea-05ef-46f6b1d787ac_BG Foods_TBRX				Cash								L_S_faaafa48-9521-11ea-05ef-46f6b1d787ac_BG Foods_TBRX				1.0000000000	 	USD		30200831.0000000000	US05508R1068			0		BG Foods				0	TBRX			20200831	
	FLIR SYSTEMS INC		L_S_5b0532d0-1f2e-11e9-a2d0-b3645e528b7a_FLIR SYSTEMS INC_TBRX				Cash						0D0673_TBRX		L_S_5b0532d0-1f2e-11e9-a2d0-b3645e528b7a_FLIR SYSTEMS INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US3024451011	FLIR SYSTEMS OR		0		FLIR SYSTEMS INC		20180118		0	TBRX			20200831	
	SW AIRLINES		L_S_5aaeb0a4-1f2e-11e9-a2d0-b3645e528b7a_SW AIRLINES_TBRX				Cash						0C4009_TBRX		L_S_5aaeb0a4-1f2e-11e9-a2d0-b3645e528b7a_SW AIRLINES_TBRX				1.0000000000	 	USD		30200831.0000000000	US8447411088	SOUTHWEST AIRLI		0		SW AIRLINES		20180118		0	TBRX			20200831	
	BMC Stock Holdings Inc		L_S_d78e26bc-b9cb-11e9-8660-de89bb9ac730_BMC Stock Holdings Inc_TBRX				Cash								L_S_d78e26bc-b9cb-11e9-8660-de89bb9ac730_BMC Stock Holdings Inc_TBRX				1.0000000000	 	USD		30200831.0000000000	US05591B1098			0		BMC Stock Holdings Inc				0	TBRX			20200831	
