ASSETCLASS_DES	NEW_MTYPE	DESCRIPTION_EXT	FI_TYPE	NUMBEROFPHASES	INSTRUMENT_FE	ASSETCLASS	NEW_MGROUP	SSL_FEID	SEC_REFERENCE	F_ISLISTED	TYPOLOGY_DES	SEC_GROUP	DESCRIPTION	COMMENT1	COMMENT0	COMMENT2	ISSUERID	TYPE_DES	FIID	SEC_TYPE	PHASE	ISIN	GROUP_DES	INSTRUMENTID_FE	MTYPE	FAMILY_DES	NEW_MFAMILY	F_LABELCHG	SSL_SNAPSHOT_DATE	TYPOLOGY	MFAMILY	SEC_CATEGORY	REF_DATE	NEW_TYPOLOGY	STRUCTID_FE	INSTRUMENTNUM_FE	MGROUP	QUANTITYFACTOR
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ROYAL DUTCH SHELLA		Equities	TBRX		Y		Equities	ROYAL DUTCH SHELLA						L_S_6e47d652-1f2b-11e9-a2d0-b3645e528b7a_ROYAL DUTCH SHELLA_TBRX	Equities	0.0000000000	GB00B03MLX29		ROYAL DUTCH SHELLA			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ABB LTD N		Equities	TBRX		Y		Equities							L_S_25336438-514c-11e9-b8d0-ec23cf8de3db_ABB LTD N_TBRX	Equities	0.0000000000	CH0012221716		ABB LTD N			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	AHOLD		Equities	TBRX		Y		Equities	KONINKLIJKE AHOLD DELHAIZE						L_S_efa0a5f4-1f2a-11e9-a2d0-b3645e528b7a_AHOLD_TBRX	Equities	0.0000000000	NL0011794037		AHOLD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	SD3E NOV26 PATM		Options	TBRX		Y		Equities							O_048ec3ba-0c3d-11ea-a960-70eafec178a3_SD3E NOV26 PATM | 18 NOV 26 | P | E | 2072.2600000000_TBRX	Options	0.0000000000			SD3E NOV26 PATM | 18 NOV 26 | P | E | 2072.2600000000			Equities		30200831		Equities	Put	20200831				Put	
	Put		FI_OPTION	1.0000000000	OEDV 202112 P 2000		Options	TBRX		Y		Equities	OEDV 202112 P 2000						O_f9cca0c2-1f30-11e9-a2d0-b3645e528b7a_OEDV 202112 P 2000 | 17 DEC 21 | P | E | 2000.0000000000_TBRX	Options	0.0000000000	DE000C0JLPY2		OEDV 202112 P 2000 | 17 DEC 21 | P | E | 2000.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	BEIERSDORF		Equities	TBRX		Y		Equities	BEIERSDORF						L_S_efa08362-1f2a-11e9-a2d0-b3645e528b7a_BEIERSDORF_TBRX	Equities	0.0000000000	DE0005200000		BEIERSDORF			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	EPC SX5E MAR24 C0 BOND		Options	TBRX		Y		Equities							O_8232676e-62b4-11e9-b160-4ad6f9df0bf5_EPC SX5E MAR24 C0 BOND | 25 MAR 24 | C | E | .0001000000_TBRX	Options	0.0000000000			EPC SX5E MAR24 C0 BOND | 25 MAR 24 | C | E | .0001000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Call		FI_OPTION	1.0000000000	I06245		Rights	TBRX		Y		Equities	BI CW CALL STM 33 E 010321						L_S_d3e7c98a-5211-11ea-8640-38c7f938b954_I06245_TBRX	Rights	0.0000000000	IT0005401416		I06245	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	BIOGEN EUR		Equities	TBRX		Y		Equities	BIOGEN						L_S_e3599bba-1f2b-11e9-a2d0-b3645e528b7a_BIOGEN EUR_TBRX	Equities	0.0000000000	US09062X1037		BIOGEN EUR			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CADENCE DESIGN		Equities	TBRX		Y		Equities	CADENCE DESIGN						L_S_5b1228b4-1f2e-11e9-a2d0-b3645e528b7a_CADENCE DESIGN_TBRX	Equities	0.0000000000	US1273871087		CADENCE DESIGN			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
