Bof_20200828
ACCRUAL_END_DATE	ACCRUAL_START_DATE	ACCRUALSTART_MATURITY_DAYS	ANNUALIZED_COUPON	CAP_STRIKE_NET	CASHFLOW_NUMBER	CASHFLOW_WDAYS	CURRENCY	DELIVERY_END_DATE	DELIVERY_START_DATE	EFFECTIVE_DATE	F_ISCALL	F_ISESTIMATED	F_ISKNOWN	F_ISPAYER	F_LEG_ISVARIABLE	FIXING_DATE	FIXING_END_DATE	FIXING_REF_VALUE	FIXING_START_DATE	H_FIXVALUE	FIXING_VALUE	FLOOR_STRIKE_NET	INSTRUMENTID_FE	INTEREST	LEG	MTYPE	OUTSTANDING	PHASE	PORTFOLIOID_FE	PREMIUM	PREMIUM_DISC	RATE	REDEMPTION	REDEMPTION_PRICE	REF_DATE	SPREAD	STRIKE_NET	COMMENT	POSITION_CASHFLOW_ID	TBRICKS_INSTRUMENT_ID
2020-08-28	2020-08-28				adf7475c-e954-11ea-a590-49499a438f10		EUR			2020-08-28				N									VINCI	5764		DIVIDEND			EQ_SSVOL						2020-08-28				EQ_SSVOL | VINCI	efa1d5aa-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf742fc-e954-11ea-a590-49499a438f10		EUR			2020-08-28				N									LVMH	944		DIVIDEND			MTAINT						2020-08-28				MTAINT | LVMH	efa01314-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf75c9c-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									DAIMLER	-197.1139829999999		FINANCING			TP-DIREZIONALE						2020-08-28				TP-DIREZIONALE | DAIMLER	efa14748-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf95e52-e954-11ea-a590-49499a438f10		USD			2020-08-28				Y									WSDM TRE INVST	-27.492259999999984		FINANCING			RELATIVE09						2020-08-28				RELATIVE09 | WSDM TRE INVST	5a4a7300-1f2e-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf45f7f-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									ENGIE	-177.11728999999977		FINANCING			ETF_DIR						2020-08-28				ETF_DIR | ENGIE	efa315d2-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf55b5e-e954-11ea-a590-49499a438f10		EUR			2020-08-28				N									FESX 202009 | SEP 20	80595		DEPOSIT_OR_WITHDRAWAL			TECNICO						2020-08-28				TECNICO | FESX 202009 | SEP 20	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf55bfe-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									FESX 202009 | SEP 20	-2116.257384		FINANCING			VOL_FVO_PRIMARIO						2020-08-28				VOL_FVO_PRIMARIO | FESX 202009 | SEP 20	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adfd5476-e954-11ea-a590-49499a438f10		USD			2020-08-28				N									ZOOM VIDEO COMM	460.8420249999999		FINANCING			TEAM_STRAT						2020-08-28				TEAM_STRAT | ZOOM VIDEO COMM	14577a8e-6bd0-11e9-bc20-3be1f50484af
2020-08-28	2020-08-28				adf756fc-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									DAIMLER	-14863.237300999988		FINANCING			EQ_SSVOL						2020-08-28				EQ_SSVOL | DAIMLER	efa14748-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf95772-e954-11ea-a590-49499a438f10		USD			2020-08-28				Y									FERRARI N V	-3.6109230000000005		FINANCING			RELATIVE09						2020-08-28				RELATIVE09 | FERRARI N V	25161afe-514c-11e9-b8d0-ec23cf8de3db
2020-08-28	2020-08-28				adfa8a34-e954-11ea-a590-49499a438f10		USD			2020-08-28				N									SLM CORPORATION	7.3284949999999975		FINANCING			RELATIVE09						2020-08-28				RELATIVE09 | SLM CORPORATION	251074f0-514c-11e9-b8d0-ec23cf8de3db
2020-08-28	2020-08-28				adfc8ad2-e954-11ea-a590-49499a438f10		USD			2020-08-28				N									INDEPEND BNCP	28.16600699999999		FINANCING			RELATIVE09						2020-08-28				RELATIVE09 | INDEPEND BNCP	2527968a-514c-11e9-b8d0-ec23cf8de3db
2020-08-28	2020-08-28				adfe8a30-e954-11ea-a590-49499a438f10		EUR			2020-08-28				N									CAC 40 INDEX	6657.077105000002		FINANCING			VOL_STOCK_IDX_PR						2020-08-28				VOL_STOCK_IDX_PR | CAC 40 INDEX	7d16e0ee-5151-11e9-b8d0-ec23cf8de3db
