INSTRUMENTID_FE	REF_DATE	QUANTITYFACTOR	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	COMPONENT_FIID	COMPONENT_INSTRUMENTID_FE
EP3 SD3E NOV24 BDT	20200831	0.2328930000	L_S_341c9e42-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E NOV24 BDT_TBRX	TBRX	30200831	O_75d4f568-62b4-11e9-b160-4ad6f9df0bf5_SD3E NOV24 CATM | 27 NOV 24 | C | E | 2146.9100000000_TBRX	SD3E NOV24 CATM | 27 NOV 24 | C | E | 2146.9100000000
EP3 DJGT SEP20 BDT	20200831	9.0559200000	L_S_341e7064-1f2e-11e9-a2d0-b3645e528b7a_EP3 DJGT SEP20 BDT_TBRX	TBRX	30200831	O_822ad35a-62b4-11e9-b160-4ad6f9df0bf5_DJGT SEP20 C0 BOND | 03 SEP 20 | C | E | .0001000000_TBRX	DJGT SEP20 C0 BOND | 03 SEP 20 | C | E | .0001000000
EP3 DJGT SEP20 BDT	20200831	9.0559200000	L_S_341e7064-1f2e-11e9-a2d0-b3645e528b7a_EP3 DJGT SEP20 BDT_TBRX	TBRX	30200831	O_822e0674-62b4-11e9-b160-4ad6f9df0bf5_DJGT SEP20 P100 BOND | 03 SEP 20 | P | E | 220.8500000000_TBRX	DJGT SEP20 P100 BOND | 03 SEP 20 | P | E | 220.8500000000
EP3 DJGT SEP20 BDT	20200831	-9.0559200000	L_S_341e7064-1f2e-11e9-a2d0-b3645e528b7a_EP3 DJGT SEP20 BDT_TBRX	TBRX	30200831	O_822e8de2-62b4-11e9-b160-4ad6f9df0bf5_DJGT SEP20 CCAP | 03 SEP 20 | C | E | 318.0240000000_TBRX	DJGT SEP20 CCAP | 03 SEP 20 | C | E | 318.0240000000
EP3 SD3E MAR25 BDT	20200831	-0.4982780000	L_S_341ea1c4-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E MAR25 BDT_TBRX	TBRX	30200831	O_835894f6-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAR25 C100 BOND | 26 MAR 25 | C | E | 2006.9100000000_TBRX	SD3E MAR25 C100 BOND | 26 MAR 25 | C | E | 2006.9100000000
EP3 SD3E MAR25 BDT	20200831	0.2989668000	L_S_341ea1c4-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E MAR25 BDT_TBRX	TBRX	30200831	O_83590a30-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAR25 CATM | 26 MAR 25 | C | E | 2006.9100000000_TBRX	SD3E MAR25 CATM | 26 MAR 25 | C | E | 2006.9100000000
EP3 DDAXK MAY23 BDT	20200831	5.8234330000	L_S_341efa34-1f2e-11e9-a2d0-b3645e528b7a_EP3 DDAXK MAY23 BDT_TBRX	TBRX	30200831	O_7d2a353a-62b4-11e9-b160-4ad6f9df0bf5_DDAXK MAY23 CALL0 BOND | 29 MAY 23 | C | E | .0001000000_TBRX	DDAXK MAY23 CALL0 BOND | 29 MAY 23 | C | E | .0001000000
EP3 DDAXK MAY23 BDT	20200831	5.8234330000	L_S_341efa34-1f2e-11e9-a2d0-b3645e528b7a_EP3 DDAXK MAY23 BDT_TBRX	TBRX	30200831	O_7d2a9a20-62b4-11e9-b160-4ad6f9df0bf5_DDAXK MAY23 P100 BOND | 29 MAY 23 | P | E | 171.7200000000_TBRX	DDAXK MAY23 P100 BOND | 29 MAY 23 | P | E | 171.7200000000
EP3 DDAXK MAY23 BDT	20200831	-5.8234330000	L_S_341efa34-1f2e-11e9-a2d0-b3645e528b7a_EP3 DDAXK MAY23 BDT_TBRX	TBRX	30200831	O_7d2b515e-62b4-11e9-b160-4ad6f9df0bf5_DDAXK MAY23 PATM | 29 MAY 23 | P | E | 171.7200000000_TBRX	DDAXK MAY23 PATM | 29 MAY 23 | P | E | 171.7200000000
EP3 DDAXK MAY23 BDT	20200831	5.8234330000	L_S_341efa34-1f2e-11e9-a2d0-b3645e528b7a_EP3 DDAXK MAY23 BDT_TBRX	TBRX	30200831	O_7d2bc6f2-62b4-11e9-b160-4ad6f9df0bf5_DDAXK MAY23 P90 | 29 MAY 23 | P | E | 154.5480000000_TBRX	DDAXK MAY23 P90 | 29 MAY 23 | P | E | 154.5480000000
