VERSION;REFERENCE_DATE;MEASURE_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MEASURE_TYPE;MEASURE_NAME;STRUCTURE_LABEL;ENTITY;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_LABEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_LABEL;UNDERLYING_MATURITY_DATE;STRIKE;UNDERLYING1_FATHER;UNDERLYING1;MATURITY1_LABEL;MATURITY1_DATE;STRIKE1;UNDERLYING2_FATHER;UNDERLYING2;MATURITY2_LABEL;MATURITY2_DATE;STRIKE2;MEASURE_CURRENCY;MEASURE_VALUE;MEASURE_MULTIPLIER;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;PFE Jan1 40.0 P;31fdc6e4-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;JAN 21;15/01/2021;;;40.00000000;;;;;;;;;;;USD;0;;InstrFthr;PFE Jan1 40.0 P;Mkt;OPRA;Sign;S;InitQty;-220.00000000;Qty;-220.00000000;DlPrc;3.05000000;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;PFE Jan1 40.0 P;31fdc89c-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;JAN 21;15/01/2021;;;40.00000000;;;;;;;;;;;USD;0;;InstrFthr;PFE Jan1 40.0 P;Mkt;OPRA;Sign;B;InitQty;220.00000000;Qty;220.00000000;DlPrc;6.76031364;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;SGE 202012 P 31;31fdd152-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;31.00000000;;;;;;;;;;;EUR;0;;InstrFthr;SGE 202012 P 31;Mkt;XEUR;Sign;S;InitQty;-260.00000000;Qty;-260.00000000;DlPrc;4.02998127;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;SGE 202012 P 31;31fdd3a0-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;31.00000000;;;;;;;;;;;EUR;0;;InstrFthr;SGE 202012 P 31;Mkt;XEUR;Sign;B;InitQty;260.00000000;Qty;260.00000000;DlPrc;7.53461538;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;SNW 202012 P 88;31fdb7c6-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;88.00000000;;;;;;;;;;;EUR;0;;InstrFthr;SNW 202012 P 88;Mkt;XEUR;Sign;S;InitQty;-89.00000000;Qty;-89.00000000;DlPrc;7.14447632;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;SNW 202012 P 88;31fdb960-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;88.00000000;;;;;;;;;;;EUR;0;;InstrFthr;SNW 202012 P 88;Mkt;XEUR;Sign;B;InitQty;89.00000000;Qty;89.00000000;DlPrc;5.42696629;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;TOTB 202012 P 48;31fdeb42-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;48.00000000;;;;;;;;;;;EUR;0;;InstrFthr;TOTB 202012 P 48;Mkt;XEUR;Sign;S;InitQty;-165.00000000;Qty;-165.00000000;DlPrc;3.80878849;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;TOTB 202012 P 48;31fdede0-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;48.00000000;;;;;;;;;;;EUR;0;;InstrFthr;TOTB 202012 P 48;Mkt;XEUR;Sign;B;InitQty;165.00000000;Qty;165.00000000;DlPrc;9.97090909;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;UNI 202012 P 52;31fd8e4a-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;52.00000000;;;;;;;;;;;EUR;0;;InstrFthr;UNI 202012 P 52;Mkt;XEUR;Sign;S;InitQty;-150.00000000;Qty;-150.00000000;DlPrc;4.65393546;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;UNI 202012 P 52;31fd9052-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;52.00000000;;;;;;;;;;;EUR;0;;InstrFthr;UNI 202012 P 52;Mkt;XEUR;Sign;B;InitQty;150.00000000;Qty;150.00000000;DlPrc;4.36666667;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;VVD 202012 P 24;31fdde54-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;24.00000000;;;;;;;;;;;EUR;0;;InstrFthr;VVD 202012 P 24;Mkt;XEUR;Sign;S;InitQty;-340.00000000;Qty;-340.00000000;DlPrc;2.11379402;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO;Equities-Options-Put;LISTED;VVD 202012 P 24;31fde188-e954-11ea-a590-49499a438f10;AMERICAN_ESCROWED_DIVIDEND;DEC 20;18/12/2020;;;24.00000000;;;;;;;;;;;EUR;0;;InstrFthr;VVD 202012 P 24;Mkt;XEUR;Sign;B;InitQty;340.00000000;Qty;340.00000000;DlPrc;3.35823529;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO_2;Equities-Equities-Common/Ordinary shares;LISTED;MB;31ff56b2-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;;;;;;;;;;EUR;0;;InstrFthr;MB;Mkt;MTAA;Sign;S;InitQty;-1000.00000000;Qty;-1000.00000000;DlPrc;5.46400000;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO_2;Equities-Equities-Common/Ordinary shares;LISTED;MB;31ff586a-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;;;;;;;;;;EUR;0;;InstrFthr;MB;Mkt;MTAA;Sign;B;InitQty;1000.00000000;Qty;1000.00000000;DlPrc;5.47000000;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;QUANTO_2;Equities-Futures-Financial Futures;LISTED;FESX 202009;31ff523e-e954-11ea-a590-49499a438f10;FUTURE_DIV_FORWARD;SEP 20;18/09/2020;;;;;;;;;;;;;;EUR;0;;InstrFthr;FESX 202009;Mkt;XEUR;Sign;S;InitQty;-150.00000000;Qty;-150.00000000;DlPrc;3282.20000000;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193041
