NomePortafoglio;CodiceISIN;UnderlyingName;ContractName;ExpiryDate;ContractKind;Rhoofposition;StrikePrice;NumberofContracts;Deltaofposition;Gammaofposition;Delta1;Multiplier;ContractCurrency;UpDelta1;DownDelta1;Thetaofposition;MarketPriceofContract;TheoreticalValueofContract;ActVol;ActFR;Vegaofposition;Investedofposition;Valueofpositionmarket;Totalresultofpositionmktth;PLDeskoperatore;Totalresultofpositiontheoretical;Feespaidforposition;ExecutionType;CustomKind;TheoreticalModel;Feedcode;PriceMultiplier;InstrumentTag;PositionCurrency;SettlementStyle;PrimaryMarketforContract;Rho1;CompositeTag;Accruedinterestofposition
VOL_STOCK_IDX_PR;;SXDP;EP3 SXDP SEPT20 BDT PUT ATM;2020-09-23;Put;-5.11076;740.81000;2447;-0.18234;0.00923;-80.57431;1.00000;EUR;0;0;-40.95547;;0.06885;25.14499;-0.39722;63.74672;;;;168.49890;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82301b26-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;0.051841;34124136-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXDP;EP3 SXDP SEPT20 BDT PUT 85;2020-09-23;Put;0.02732;629.68850;-2447;0.00098;-0.00006;0.43376;1.00000;EUR;0;0;0.34946;;0.00033;31.42182;-0.39722;-0.49748;;;;-0.80917;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82306356-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-0.000277716;34124136-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXDP;EP3 SXDP SEPT20 BDT CALL 144;2020-09-23;Call;0.00009;1066.76640;2447;0.00000;0.00000;0.00133;1.00000;EUR;0;0;-0.00049;;0.00000;13.39143;-0.39722;0.00193;;;;0.00083;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82307cce-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-8.26209e-07;34124136-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SX5E;EPC SX5E MAR24 C100 BOND;2024-03-25;Call;435263.43154;3300.48000;9100;473.44140;0.33912;156945.82300;1.00000;EUR;0;0;-339.11713;;370.17514;18.28283;-0.39339;212020.86422;;;;3368549.93885;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;8232a92d-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-4205.98;9cf553e0-522e-11e9-afe0-b874ad24a6c7;0
VOL_STOCK_IDX_PR;;SX5E;EPC SX5E MAR24 P100 BOND;2024-03-25;Put;628939.90828;3300.48000;-9100;436.54676;-0.33912;144715.24952;1.00000;EUR;0;0;3436.50607;;503.27976;18.28283;-0.39339;-212020.86422;;;;-4579786.18144;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;8232bdcc-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-6626.66;9cf553e0-522e-11e9-afe0-b874ad24a6c7;0
VOL_STOCK_IDX_PR;;SPX;SPX FEB24 CATM;2024-02-12;Call;-78242.20365;2745.73000;-1344;-20.36505;-0.00546;-35520.47393;1.00000;USD;0;0;336.57565;;934.64618;24.75934;1.49695;-26093.71954;;;;-1255888.81387;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;8247c50a-62b4-11e9-b160-4ad6f9df0bf5;USD;Cash;XXXX;776.798;26fe2e54-39b6-11e9-aa00-490041a9bcec;0
EQ-INDEXVOL2;;SX5E;BON OCT20 C0 BOND UBS;2020-10-15;Call;-1.17136;0.00001;-767;-76.70526;0.00000;-25427.79518;1.00000;EUR;0;0;-370.99237;;3314.06694;112.71434;-0.39063;0.00000;;;;-2542063.81257;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;8259202b-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;0.0117184;3411a046-1f2e-11e9-a2d0-b3645e528b7a;0
EQ-INDEXVOL2;;SX5E;BON OCT20 C CAP UBS;2020-10-15;Call;0.00000;4655.15100;767;0.00000;0.00000;0.00000;1.00000;EUR;0;0;0.00000;;0.00000;15.12815;-0.39063;0.00000;;;;0.00000;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;8259d5ce-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;0;3411a046-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SX6E;SX6E NOV25 P100 BOND;2025-11-26;Put;77792.74511;279.53000;-10976;72.18821;-0.57184;12615.97313;1.00000;EUR;0;0;148.46990;;39.03663;19.79151;-0.34588;-26625.53058;;;;-428449.21670;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82aaf22e-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-839.713;341c0f36-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 P100 BOND;2026-02-18;Put;1286452.49814;3270.55000;-12676;571.13761;-0.39374;189332.11725;1.00000;EUR;0;0;3873.47054;;574.37798;18.28877;-0.36123;-349683.65208;;;;-7280729.61163;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;817e6f5c-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-13806.6;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 C50 2Y;2021-02-16;Call;-4010.29509;1635.27500;-545;-53.74372;-0.00170;-17816.04306;1.00000;EUR;0;0;-173.53501;;1672.18175;51.04961;-0.36123;-435.99395;;;;-911442.03809;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;817f26c2-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;40.1767;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 C50 4Y;2023-02-16;Call;-19357.33603;1635.27500;-545;-50.82415;-0.00428;-16848.20565;1.00000;EUR;0;0;-160.54762;;1570.13005;33.50408;-0.36123;-3539.05140;;;;-855817.57535;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;817fa606-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;194.598;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 C50 5Y;2024-02-16;Call;-26426.76222;1635.27500;-545;-49.86905;-0.00477;-16531.59057;1.00000;EUR;0;0;-165.07797;;1524.48109;30.87700;-0.36123;-4888.53156;;;;-830936.08279;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;81846754-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;265.891;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 C50 7Y;2026-02-18;Call;-39925.08455;1635.27500;-545;-48.54498;-0.00538;-16092.66085;1.00000;EUR;0;0;-171.48174;;1446.32404;27.28991;-0.36123;-7092.60688;;;;-788335.67580;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;81862ee0-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;402.149;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SXKE;SXKE SEP20 C0 BOND;2020-09-03;Call;-0.00240;0.00010;-97431;-1948.62428;0.00000;-246306.10870;1.00000;EUR;0;0;-0.00009;;252.79990;50.95700;-0.40557;0.00000;;;;-24630601.12619;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82244e54-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;2.40252e-05;3431f198-1f2e-11e9-a2d0-b3645e528b7a;0
