Bof_20200828
CURRENCY	DELIVERY_ENDDATE	DELIVERY_STARTDATE	DESCRIPTION	EXPIRY	EXPIRY_LABEL	F_CASH_DELIVERY	F_LISTED	INSTRUMENTID_FE	ISIN	LOTSIZE	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	UNDERLYINGID	DIV_FUTURE_TYPE	F_DIV_FUTURE	DIVIDENDID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID
USD			VIX FUT OCT0	2020-10-21	OCT 20	P		VIX FUT OCT0 | OCT 20		1000	2020-08-28	Financial Futures	Equities	Futures	VIX FUT SEP0 | SEP 20		N	VIX FUT SEP0 | SEP 20	23f4acca-1d6c-11ea-aaf0-413cb15b8cca	23f49280-1d6c-11ea-aaf0-413cb15b8cca	23f49280-1d6c-11ea-aaf0-413cb15b8cca
EUR			A2SG 202112	2021-12-17	DEC 21	C		A2SG 202112 | DEC 21	DE000C0JK8F0	1000	2020-08-28	Financial Futures	Equities	Futures	G		Y	G	f39a1f40-1f30-11e9-a2d0-b3645e528b7a	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a
EUR			FEXD 202112	2021-12-17	DEC 21	C		FEXD 202112 | DEC 21	DE000F4ZCMS5	100	2020-08-28	Financial Futures	Equities	Futures	FEXD 202112 | DEC 21		Y	FEXD 202012 | DEC 20	f3732638-1f30-11e9-a2d0-b3645e528b7a	f3732638-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a
EUR			FEXD 202312	2023-12-15	DEC 23	C		FEXD 202312 | DEC 23	DE000F4ZCJ80	100	2020-08-28	Financial Futures	Equities	Futures	FEXD 202312 | DEC 23		Y	FEXD 202012 | DEC 20	f383eb08-1f30-11e9-a2d0-b3645e528b7a	f383eb08-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a
EUR			A2SG 202012	2020-12-18	DEC 20	C		A2SG 202012 | DEC 20	DE000F8AEDT2	1000	2020-08-28	Financial Futures	Equities	Futures	G		Y	G	f388515c-1f30-11e9-a2d0-b3645e528b7a	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a
EUR			FEXD 202012	2020-12-18	DEC 20	C		FEXD 202012 | DEC 20	DE000F4ZCL94	100	2020-08-28	Financial Futures	Equities	Futures	FEXD 202012 | DEC 20		Y	FEXD 202012 | DEC 20	f3731ee0-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a
EUR			E2NL 202012	2020-12-18	DEC 20	C		E2NL 202012 | DEC 20	DE000F8AEMK2	1000	2020-08-28	Financial Futures	Equities	Futures	ENEL		Y	ENEL	f463b79c-1f30-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a
EUR			E2NL 202112	2021-12-17	DEC 21	C		E2NL 202112 | DEC 21	DE000C0JKHE3	1000	2020-08-28	Financial Futures	Equities	Futures	ENEL		Y	ENEL	f4b38452-1f30-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a
EUR			FEXD 202512	2025-12-19	DEC 25	C		FEXD 202512 | DEC 25	DE000F5UNRW1	100	2020-08-28	Financial Futures	Equities	Futures	FEXD 202512 | DEC 25		Y	FEXD 202012 | DEC 20	f463398e-1f30-11e9-a2d0-b3645e528b7a	f463398e-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a
EUR			E2NT 202112	2021-12-17	DEC 21	C		E2NT 202112 | DEC 21	DE000C0JKHF0	1000	2020-08-28	Financial Futures	Equities	Futures	ENI		Y	ENI	f4b38a1a-1f30-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a
EUR			E2NL 202212	2022-12-16	DEC 22	C		E2NL 202212 | DEC 22	DE000C1JUQH4	1000	2020-08-28	Financial Futures	Equities	Futures	ENEL		Y	ENEL	f535ea3c-1f30-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a
EUR			FEXD 202412	2024-12-20	DEC 24	C		FEXD 202412 | DEC 24	DE000F4ZCK95	100	2020-08-28	Financial Futures	Equities	Futures	FEXD 202412 | DEC 24		Y	FEXD 202012 | DEC 20	f44d08e4-1f30-11e9-a2d0-b3645e528b7a	f44d08e4-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a
EUR			F2IA 202012	2020-12-18	DEC 20	C		F2IA 202012 | DEC 20	DE000C37US82	1000	2020-08-28	Financial Futures	Equities	Futures	FCA		Y	FCA	5879d98e-a6c0-11e9-ac40-a83e753839f1	ef9d4c92-1f2a-11e9-a2d0-b3645e528b7a	ef9d4c92-1f2a-11e9-a2d0-b3645e528b7a
EUR			FEXD 202612	2026-12-18	DEC 26	C		FEXD 202612 | DEC 26	DE000C0JK6H0	100	2020-08-28	Financial Futures	Equities	Futures	FEXD 202612 | DEC 26		Y	FEXD 202012 | DEC 20	f4b2fcb2-1f30-11e9-a2d0-b3645e528b7a	f4b2fcb2-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a
EUR			FEXD 202212	2022-12-16	DEC 22	C		FEXD 202212 | DEC 22	DE000F0VD0D8	100	2020-08-28	Financial Futures	Equities	Futures	FEXD 202212 | DEC 22		Y	FEXD 202012 | DEC 20	f383e3c4-1f30-11e9-a2d0-b3645e528b7a	f383e3c4-1f30-11e9-a2d0-b3645e528b7a	f3731ee0-1f30-11e9-a2d0-b3645e528b7a
EUR			E2NT 202012	2020-12-18	DEC 20	C		E2NT 202012 | DEC 20	DE000F8AEML0	1000	2020-08-28	Financial Futures	Equities	Futures	ENI		Y	ENI	f463bd00-1f30-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a
EUR			E2NT 202212	2022-12-16	DEC 22	C		E2NT 202212 | DEC 22	DE000C1JUQJ0	1000	2020-08-28	Financial Futures	Equities	Futures	ENI		Y	ENI	f535f036-1f30-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a
EoF
