Bof_20200828
ANALYTICDATE	CURRENCY	POSITIONID_FE	DELTA	GAMMA	LEG	PORTFOLIOID_FE	REF_DATE	RHO	THETA	VEGA	RHO-1	TBRICKS_INSTRUMENT_ID
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | VO3 X130 - OTC - STRUTT | 16 DEC 22 | P | A | 130.0000000000 | XOFF | OTC Derivatives	-43140.148964316046	673.52912688765		EQSSVOLOTC	2020-08-28	-123105.01056956929	-1556.085128646867	17588.885611076854	1360.8033509181716	bbc017ea-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL MAR21 CALL 2.8475 OTC - EPSILON | 15 MAR 21 | C | E | 2.8475000000 | None | OTC Derivatives	-1873.1436898645402	-6.329199321507069		EQSSVOLOTC	2020-08-28	-396.6514198420125	1.4889641812539869	-6.786557352419883	3.976774724377522	bc4dee62-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL MAR22 CALL 2.8475 OTC - EPSILON | 14 MAR 22 | C | E | 2.8475000000 | None | OTC Derivatives	-1838.7909174941606	-25.460455939215443		EQSSVOLOTC	2020-08-28	-1103.8901101188999	4.9925629386313215	-47.93175654520208	11.101308057092067	bc4e0a8c-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL MAR23 CALL 2.8475 OTC - EPSILON | 13 MAR 23 | C | E | 2.8475000000 | None | OTC Derivatives	-1817.830611610289	-34.90463107504158		EQSSVOLOTC	2020-08-28	-1837.1184147797023	4.514190173012618	-70.35836072592653	18.520868547476077	bc4e208a-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL MAR24 CALL 2.8475 OTC - EPSILON | 13 MAR 24 | C | E | 2.8475000000 | None | OTC Derivatives	-1795.4944380868303	-44.49855289884326		EQSSVOLOTC	2020-08-28	-2599.190165144353	4.0390600998060515	-91.61411264336951	26.250153097621087	bc4e3aa2-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL MAR25 CALL 2.8475 OTC - EPSILON | 13 MAR 25 | C | E | 2.8475000000 | None | OTC Derivatives	-1767.4814223733395	-55.0180268922811		EQSSVOLOTC	2020-08-28	-3346.092420615638	4.0944116790541765	-117.31373702149827	33.822427320476436	bc4e5456-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL MAR26 CALL 2.8475 OTC - EPSILON | 13 MAR 26 | C | E | 2.8475000000 | None | OTC Derivatives	-1734.4782163744685	-65.16027413575468		EQSSVOLOTC	2020-08-28	-4038.4943769490424	4.3644327438512045	-147.7855174784604	40.823968699526276	bc4e6ee6-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI MAR21 CALL 7.99 OTC - EPSILON | 15 MAR 21 | C | E | 7.9900000000 | None | OTC Derivatives	-356.5395761269272	-157.30964510582902		EQSSVOLOTC	2020-08-28	-165.46438100066814	22.185376527456924	-61.78489355396293	1.6403446579463672	bc4ea3f2-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI MAR22 CALL 7.99 OTC - EPSILON | 14 MAR 22 | C | E | 7.9900000000 | None | OTC Derivatives	-346.74565047491296	-104.47129421952754		EQSSVOLOTC	2020-08-28	-410.8602425109789	11.46118602678784	-93.10079993402218	4.045319754627337	bc4ebc7a-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI MAR23 CALL 7.99 OTC - EPSILON | 13 MAR 23 | C | E | 7.9900000000 | None | OTC Derivatives	-333.37467569049727	-90.02376517254858		EQSSVOLOTC	2020-08-28	-618.0454578022565	8.032303163171074	-107.71641159983876	6.045719226167111	bc4ef190-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI MAR24 CALL 7.99 OTC - EPSILON | 13 MAR 24 | C | E | 7.9900000000 | None | OTC Derivatives	-318.8102380224245	-83.80141034204752		EQSSVOLOTC	2020-08-28	-798.8515988501708	6.0709970310031025	-114.7258107105518	7.758955735971996	bc4f0c52-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI MAR25 CALL 7.99 OTC - EPSILON | 13 MAR 25 | C | E | 7.9900000000 | None | OTC Derivatives	-297.5072003046025	-81.42886459377297		EQSSVOLOTC	2020-08-28	-942.6689823745669	4.760702977683279	-115.41853072661841	9.07199872512224	bc4f2ade-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI MAR26 CALL 7.99 OTC - EPSILON | 13 MAR 26 | C | E | 7.9900000000 | None | OTC Derivatives	-275.9532649359054	-80.37067760836615		EQSSVOLOTC	2020-08-28	-1057.6291311629298	3.8208651404716885	-112.82950910956575	10.069707313440789	bc4f42b2-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | IBERDROLA MAR21 CALL 3.891 OTC - EPSILON | 15 MAR 21 | C | E | 3.8910000000 | None | OTC Derivatives	-1924.3017427339105	-1.1096796650376604		EQSSVOLOTC	2020-08-28	-395.99907676354474	-0.5408986265735792	-1.1929800782947668	3.970799867777112	bc4f8736-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | IBERDROLA MAR22 CALL 3.891 OTC - EPSILON | 14 MAR 22 | C | E | 3.8910000000 | None | OTC Derivatives	-1913.2723992577003	-7.904933323305168		EQSSVOLOTC	2020-08-28	-1133.357433307114	0.6166578431266251	-13.744357648470707	11.411173353887243	bc4fa108-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | IBERDROLA MAR23 CALL 3.891 OTC - EPSILON | 13 MAR 23 | C | E | 3.8910000000 | None | OTC Derivatives	-1884.583475484503	-18.76808874050741		EQSSVOLOTC	2020-08-28	-1848.566268744743	2.781290069653394	-47.69071187523306	18.65721759741518	bc4fb936-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | IBERDROLA MAR24 CALL 3.891 OTC - EPSILON | 13 MAR 24 | C | E | 3.8910000000 | None | OTC Derivatives	-1863.6106138742825	-25.11057854327895		EQSSVOLOTC	2020-08-28	-2573.883333048732	2.960195970633293	-71.34024271263416	26.033008477165207	bc4fd38a-7710-11e9-9400-98972329be46
